PostId,TagId,id
"36265833","81","36265833"
"36265833","116","36265833"
"36265833","73308","36265833"
"36265833","77128","36265833"
"36265833","106654","36265833"
"36422243","11272","36422243"
"36422243","95875","36422243"
"36422243","96321","36422243"
"36422243","106654","36422243"
"36418827","760","36418827"
"36418827","95875","36418827"
"36418827","106654","36418827"
"36418827","107291","36418827"
"36418827","109943","36418827"
"36291878","183","36291878"
"36291878","106654","36291878"
"36307211","1567","36307211"
"36307211","78211","36307211"
"36307211","95875","36307211"
"36307211","106654","36307211"
"36423188","98753","36423188"
"36423188","106654","36423188"
"36415988","17","36415988"
"36415988","1299","36415988"
"36415988","8643","36415988"
"36415988","106654","36415988"
"36355567","753","36355567"
"36355567","106654","36355567"
"36407520","17","36407520"
"36407520","95875","36407520"
"36407520","106654","36407520"
"36407520","116990","36407520"
"36407520","120246","36407520"
"26491425","17","26491425"
"26491425","38805","26491425"
"26491425","80908","26491425"
"26491425","106654","26491425"
"26529567","556","26529567"
"26529567","1378","26529567"
"26529567","2606","26529567"
"26529567","10052","26529567"
"26529567","106654","26529567"
"26611387","17","26611387"
"26611387","2458","26611387"
"26611387","2990","26611387"
"26611387","106654","26611387"
"26616962","48","26616962"
"26616962","735","26616962"
"26616962","753","26616962"
"26616962","1632","26616962"
"26616962","106654","26616962"
"26705784","1603","26705784"
"26705784","3929","26705784"
"26705784","80908","26705784"
"26705784","82545","26705784"
"26705784","106654","26705784"
"26706240","80908","26706240"
"26706240","106654","26706240"
"26800452","3280","26800452"
"26800452","3761","26800452"
"26800452","6605","26800452"
"26800452","46426","26800452"
"26800452","106654","26800452"
"28112290","725","28112290"
"28112290","49198","28112290"
"28112290","106654","28112290"
"28114758","16537","28114758"
"28114758","95875","28114758"
"28114758","106654","28114758"
"28264162","17","28264162"
"28264162","8261","28264162"
"28264162","14652","28264162"
"28264162","27969","28264162"
"28264162","106654","28264162"
"29924248","116","29924248"
"29924248","598","29924248"
"29924248","3929","29924248"
"29924248","106654","29924248"
"29960156","1","29960156"
"29960156","364","29960156"
"29960156","78872","29960156"
"29960156","95613","29960156"
"29960156","106654","29960156"
"30000824","27969","30000824"
"30000824","106338","30000824"
"30000824","106654","30000824"
"30027545","48","30027545"
"30027545","79955","30027545"
"30027545","106654","30027545"
"30053782","17","30053782"
"30053782","201","30053782"
"30053782","2579","30053782"
"30053782","14652","30053782"
"30053782","106654","30053782"
"30116581","79111","30116581"
"30116581","106654","30116581"
"30116581","107361","30116581"
"30159795","12375","30159795"
"30159795","27364","30159795"
"30159795","33388","30159795"
"30159795","105747","30159795"
"30159795","106654","30159795"
"30173267","48","30173267"
"30173267","753","30173267"
"30173267","106654","30173267"
"30209442","183","30209442"
"30209442","2051","30209442"
"30209442","106654","30209442"
"30213456","48","30213456"
"30213456","364","30213456"
"30213456","3550","30213456"
"30213456","106654","30213456"
"30237292","1649","30237292"
"30237292","2884","30237292"
"30237292","106654","30237292"
"30267737","21","30267737"
"30267737","190","30267737"
"30267737","2579","30267737"
"30267737","106654","30267737"
"30273152","48","30273152"
"30273152","2579","30273152"
"30273152","106654","30273152"
"30286443","119","30286443"
"30286443","106654","30286443"
"30288968","106654","30288968"
"30296587","9436","30296587"
"30296587","32457","30296587"
"30296587","33388","30296587"
"30296587","106654","30296587"
"30422184","48","30422184"
"30422184","538","30422184"
"30422184","11878","30422184"
"30422184","90304","30422184"
"30422184","106654","30422184"
"30449278","119","30449278"
"30449278","1362","30449278"
"30449278","15488","30449278"
"30449278","85376","30449278"
"30449278","106654","30449278"
"30496218","2788","30496218"
"30496218","44299","30496218"
"30496218","101568","30496218"
"30496218","106654","30496218"
"30583466","48","30583466"
"30583466","1632","30583466"
"30583466","2433","30583466"
"30583466","106654","30583466"
"30597881","1211","30597881"
"30597881","27969","30597881"
"30597881","106654","30597881"
"30613574","106654","30613574"
"30621142","17","30621142"
"30621142","364","30621142"
"30621142","2488","30621142"
"30621142","89996","30621142"
"30621142","106654","30621142"
"30621628","9","30621628"
"30621628","485","30621628"
"30621628","1632","30621628"
"30621628","52565","30621628"
"30621628","106654","30621628"
"30648096","201","30648096"
"30648096","271","30648096"
"30648096","106654","30648096"
"30648139","189","30648139"
"30648139","364","30648139"
"30648139","106654","30648139"
"30649582","753","30649582"
"30649582","2458","30649582"
"30649582","12394","30649582"
"30649582","106654","30649582"
"30670403","78872","30670403"
"30670403","95613","30670403"
"30670403","95875","30670403"
"30670403","106654","30670403"
"30681058","364","30681058"
"30681058","35407","30681058"
"30681058","106654","30681058"
"30708162","1211","30708162"
"30708162","2990","30708162"
"30708162","74423","30708162"
"30708162","106654","30708162"
"30732982","2","30732982"
"30732982","3","30732982"
"30732982","5","30732982"
"30732982","78022","30732982"
"30732982","106654","30732982"
"30739851","9","30739851"
"30739851","3656","30739851"
"30739851","7188","30739851"
"30739851","14092","30739851"
"30739851","106654","30739851"
"30772774","12375","30772774"
"30772774","33388","30772774"
"30772774","105747","30772774"
"30772774","106654","30772774"
"30772774","107291","30772774"
"30800908","8661","30800908"
"30800908","78211","30800908"
"30800908","106654","30800908"
"30887937","33388","30887937"
"30887937","46426","30887937"
"30887937","90304","30887937"
"30887937","106654","30887937"
"30887937","110970","30887937"
"30908112","48","30908112"
"30908112","106654","30908112"
"30908725","364","30908725"
"30908725","14652","30908725"
"30908725","35407","30908725"
"30908725","106654","30908725"
"30910817","7188","30910817"
"30910817","27969","30910817"
"30910817","27971","30910817"
"30910817","106654","30910817"
"30915043","16","30915043"
"30915043","5996","30915043"
"30915043","27969","30915043"
"30915043","90304","30915043"
"30915043","106654","30915043"
"30991404","3143","30991404"
"30991404","41325","30991404"
"30991404","51815","30991404"
"30991404","73948","30991404"
"30991404","106654","30991404"
"30995669","364","30995669"
"30995669","627","30995669"
"30995669","2579","30995669"
"30995669","14652","30995669"
"30995669","106654","30995669"
"31031865","48","31031865"
"31031865","190","31031865"
"31031865","725","31031865"
"31031865","90304","31031865"
"31031865","106654","31031865"
"31044380","364","31044380"
"31044380","106654","31044380"
"31046924","106654","31046924"
"31047564","17","31047564"
"31047564","3656","31047564"
"31047564","16537","31047564"
"31047564","106654","31047564"
"31088764","106654","31088764"
"31095177","106654","31095177"
"31786040","105037","31786040"
"31786040","106654","31786040"
"31786040","107291","31786040"
"31786040","109943","31786040"
"31786040","112338","31786040"
"31801057","43662","31801057"
"31801057","68692","31801057"
"31801057","106654","31801057"
"31842622","106654","31842622"
"31845342","95875","31845342"
"31845342","106654","31845342"
"31845342","107291","31845342"
"31912285","17","31912285"
"31912285","25008","31912285"
"31912285","32307","31912285"
"31912285","106654","31912285"
"31941887","48","31941887"
"31941887","4462","31941887"
"31941887","106654","31941887"
"31962345","3","31962345"
"31962345","183","31962345"
"31962345","201","31962345"
"31962345","10946","31962345"
"31962345","106654","31962345"
"31973473","17","31973473"
"31973473","73995","31973473"
"31973473","91786","31973473"
