Id,PostId,VoteTypeId,UserId,CreationDate,BountyAmount,id
"113396408","34534079","2","","2016-05-06 00:00:00","","34534079"
"113397192","37074642","2","","2016-05-06 00:00:00","","37074642"
"86540201","29460485","5","1953301","2015-04-06 00:00:00","","29460485"
"86540609","28942614","2","","2015-04-06 00:00:00","","28942614"
"194746720","47837207","2","","2019-09-24 00:00:00","","47837207"
"168034646","51519340","16","","2018-07-25 00:00:00","","51519340"
"194773980","31842622","2","","2019-09-24 00:00:00","","31842622"
"194774186","40233978","2","","2019-09-24 00:00:00","","40233978"
"194777369","58081792","2","","2019-09-24 00:00:00","","58081792"
"141637612","44113228","5","1582284","2017-06-27 00:00:00","","44113228"
"141726480","44802594","2","","2017-06-28 00:00:00","","44802594"
"141727748","39154613","5","4396995","2017-06-28 00:00:00","","39154613"
"141730976","40574379","2","","2017-06-28 00:00:00","","40574379"
"194876253","44692737","2","","2019-09-25 00:00:00","","44692737"
"194883024","46949073","2","","2019-09-26 00:00:00","","46949073"
"194883026","46949073","5","1744006","2019-09-26 00:00:00","","46949073"
"141761646","44253950","2","","2017-06-29 00:00:00","","44253950"
"141761662","44253950","5","812517","2017-06-29 00:00:00","","44253950"
"141782701","37148836","2","","2017-06-29 00:00:00","","37148836"
"141783427","30213456","2","","2017-06-29 00:00:00","","30213456"
"141783745","44797253","2","","2017-06-29 00:00:00","","44797253"
"141783753","44797253","5","1350880","2017-06-29 00:00:00","","44797253"
"194901926","58110187","2","","2019-09-26 00:00:00","","58110187"
"194903726","26616962","5","6680907","2019-09-26 00:00:00","","26616962"
"194906074","56343599","2","","2019-09-26 00:00:00","","56343599"
"194906836","41400158","2","","2019-09-26 00:00:00","","41400158"
"194912624","46668418","2","","2019-09-26 00:00:00","","46668418"
"194912630","46668418","5","546208","2019-09-26 00:00:00","","46668418"
"168207081","47793065","2","","2018-07-28 00:00:00","","47793065"
"141918072","41067341","2","","2017-07-01 00:00:00","","41067341"
"168308858","51593335","2","","2018-07-30 00:00:00","","51593335"
"113795230","33165216","5","974876","2016-05-12 00:00:00","","33165216"
"195144027","55992766","2","","2019-09-30 00:00:00","","55992766"
"114029783","37254914","2","","2016-05-16 00:00:00","","37254914"
"168527855","51542197","5","1987266","2018-08-02 00:00:00","","51542197"
"142169210","35756663","2","","2017-07-05 00:00:00","","35756663"
"142280072","38786207","2","","2017-07-06 00:00:00","","38786207"
"168628403","45661006","5","7908756","2018-08-03 00:00:00","","45661006"
"114157271","37289487","5","839733","2016-05-18 00:00:00","","37289487"
"114157734","37289634","5","839733","2016-05-18 00:00:00","","37289634"
"114158910","36701111","2","","2016-05-18 00:00:00","","36701111"
"87326304","29704842","5","4588760","2015-04-18 00:00:00","","29704842"
"168642911","51676756","16","","2018-08-03 00:00:00","","51676756"
"168643029","51541318","2","","2018-08-03 00:00:00","","51541318"
"87337069","29704842","2","","2015-04-18 00:00:00","","29704842"
"142391023","43983286","5","4313033","2017-07-08 00:00:00","","43983286"
"142391024","43983286","2","","2017-07-08 00:00:00","","43983286"
"142391836","44983214","2","","2017-07-08 00:00:00","","44983214"
"142396874","44988481","16","","2017-07-08 00:00:00","","44988481"
"142396928","36461493","2","","2017-07-08 00:00:00","","36461493"
"142398627","44988481","2","","2017-07-08 00:00:00","","44988481"
"142403316","29761872","2","","2017-07-08 00:00:00","","29761872"
"142405414","29761872","2","","2017-07-08 00:00:00","","29761872"
"195569856","56102431","2","","2019-10-08 00:00:00","","56102431"
"142518877","39364466","5","33404","2017-07-10 00:00:00","","39364466"
"195669404","45099677","2","","2019-10-09 00:00:00","","45099677"
"195670164","38071714","2","","2019-10-09 00:00:00","","38071714"
"195670165","38071714","5","195651","2019-10-09 00:00:00","","38071714"
"142618515","45022849","2","","2017-07-12 00:00:00","","45022849"
"142621099","38565470","2","","2017-07-12 00:00:00","","38565470"
